JENO,DR_sum,CR_sum,Differ
201701011,132000,132000,0
201701021,334400,334400,0
201701022,708400,708400,0
201701023,31900,31900,0
201701024,145500,145500,0
201701025,786500,786500,0
201701026,33000,33000,0
201701027,13838,13838,0
201701028,148500,148500,0
201701029,571000,571000,0
201701031,979677,979677,0
201701032,497850,497850,0
201701033,7840,7840,0
201701034,8400,8400,0
201701035,130090,130090,0
201701036,3200000,3200000,0
201701037,1355200,1355200,0
201701038,87279,87279,0
201701039,26996670,26996670,0
201701041,16283000,16283000,0
201701042,79750000,79750000,0
201701043,5060000,5060000,0
201701044,9625000,9625000,0
201701045,28380000,28380000,0
201701046,14520000,14520000,0
201701047,8030000,8030000,0
201701048,4290000,4290000,0
201701049,1900000,1900000,0
201701051,577000,577000,0
201701052,1622511,1622511,0
201701053,5500000,5500000,0
201701054,20000,20000,0
201701055,1640000,1640000,0
201701056,4962505,4962505,0
201701057,275000,275000,0
201701058,792000,792000,0
201701059,1653480,1653480,0
201701061,1804940,1804940,0
201701062,668680,668680,0
201701063,819160,819160,0
201701064,31716220,31716220,0
201701065,3960000,3960000,0
201701066,1706100,1706100,0
201701067,8800000,8800000,0
201701068,6237000,6237000,0
201701069,132000,132000,0
201701071,825000,825000,0
201701072,165000,165000,0
201701073,440000,440000,0
201701074,352000,352000,0
201701075,440000,440000,0
201701076,275000,275000,0
201701077,1122000,1122000,0
201701078,715000,715000,0
201701079,440000,440000,0
201701091,16200000,16200000,0
201701092,127457500,127457500,0
201701093,420000,420000,0
201701094,1100000,1100000,0
201701095,56400,56400,0
201701096,44000,44000,0
201701097,44000,44000,0
201701098,343000,343000,0
201701099,169240,169240,0
201701101,297000,297000,0
201701102,121000,121000,0
201701103,15630,15630,0
201701105,220000,220000,0
201701106,440000,440000,0
201701107,22000,22000,0
201701109,46780000,46780000,0
201701111,3960000,3960000,0
201701112,5392064,5392064,0
201701113,715000,715000,0
201701114,286000,286000,0
201701115,693440,693440,0
201701116,286000,286000,0
201701117,1672000,1672000,0
201701118,1040000,1040000,0
201701119,14000,14000,0
201701121,3217500,3217500,0
201701122,7863750,7863750,0
201701123,8323340,8323340,0
201701124,128530,128530,0
201701125,8137840,8137840,0
201701126,1337930,1337930,0
201701127,6728690,6728690,0
201701128,3500000,3500000,0
201701129,1496000,1496000,0
201701131,2200000,2200000,0
201701132,1210000,1210000,0
201701133,5150292,5150292,0
201701134,880000,880000,0
201701135,496100,496100,0
201701136,2098250,2098250,0
201701137,249480,249480,0
201701138,4063000,4063000,0
201701139,440000,440000,0
201701141,550000,550000,0
201701151,250000,250000,0
201701152,200000,200000,0
201701153,55000,55000,0
201701154,99000,99000,0
201701155,77000,77000,0
201701156,200000,200000,0
201701157,50000,50000,0
201701158,340000,340000,0
201701159,77000,77000,0
201701161,121000,121000,0
201701162,121000,121000,0
201701163,297000,297000,0
201701164,330000,330000,0
201701165,139332,139332,0
201701166,275000,275000,0
201701167,121000,121000,0
201701168,200000,200000,0
201701169,247500,247500,0
201701171,874500,874500,0
201701172,60000000,60000000,0
201701173,138457275,138457275,0
201701174,2090000,2090000,0
201701175,29700000,29700000,0
201701176,11550000,11550000,0
201701177,22000000,22000000,0
201701178,1100000,1100000,0
201701179,3487000,3487000,0
201701181,5000000,5000000,0
201701182,473320,473320,0
201701183,394440,394440,0
201701184,394440,394440,0
201701186,44000,44000,0
201701187,16790,16790,0
201701189,3000,3000,0
201701191,12178759,12178759,0
201701192,26561700,26561700,0
201701193,51066400,51066400,0
201701194,594000,594000,0
201701195,4246000,4246000,0
201701196,770000,770000,0
201701197,275000,275000,0
201701198,167200,167200,0
201701199,184800,184800,0
201701201,7000000,7000000,0
201701202,198000,198000,0
201701203,265000,265000,0
201701204,13620631,13620631,0
201701205,90200000,90200000,0
201701206,77000000,77000000,0
201701207,1400000,1400000,0
201701208,1650000,1650000,0
201701209,19370,19370,0
201701211,220000,220000,0
201701231,36335775,36335775,0
201701232,1210000,1210000,0
201701233,435600,435600,0
201701234,330000,330000,0
201701235,12200,12200,0
201701236,200000,200000,0
201701237,1100000,1100000,0
201701238,55000,55000,0
201701239,3448500,3448500,0
201701241,3300000,3300000,0
201701242,2948789,2948789,0
201701244,3917628,3917628,0
201701245,55000000,55000000,0
201701246,3200000,3200000,0
201701247,20000000,20000000,0
201701248,73650,73650,0
201701249,66000,66000,0
201701251,916666,916666,0
201701252,250000,250000,0
201701253,1100000,1100000,0
201701254,198533500,198533500,0
201701255,89650000,89650000,0
201701256,9350000,9350000,0
201701257,330000,330000,0
201701259,165000,165000,0
201701261,64116795,64116795,0
201701262,239272000,239272000,0
201701264,7700000,7700000,0
201701265,30800000,30800000,0
201701266,9208067,9208067,0
201701267,540520,540520,0
201701268,18979571,18979571,0
201701269,44278000,44278000,0
201701301,66000,66000,0
201701302,66000,66000,0
201701311,15120,15120,0
201701312,5100,5100,0
201701313,291000,291000,0
201701314,3960000,3960000,0
201701315,24000,24000,0
201701316,15000,15000,0
201701317,185000,185000,0
201701318,55000,55000,0
201701319,96000,96000,0
201702011,430000,430000,0
201702012,231000,231000,0
201702013,960000,960000,0
201702014,176000,176000,0
201702015,6600000,6600000,0
201702016,3739200,3739200,0
201702017,1988260,1988260,0
201702018,2000000,2000000,0
201702019,1200000,1200000,0
201702021,495000,495000,0
201702022,5500000,5500000,0
201702023,51210225,51210225,0
201702024,14492500,14492500,0
201702025,605000,605000,0
201702026,105050,105050,0
201702027,36104000,36104000,0
201702028,32500,32500,0
201702029,34900,34900,0
201702031,152038150,152038150,0
201702032,14780524,14780524,0
201702033,27000000,27000000,0
201702034,14399000,14399000,0
201702035,53000,53000,0
201702036,55000,55000,0
201702037,329350,329350,0
201702038,7840,7840,0
201702039,8250,8250,0
201702041,66000,66000,0
201702042,262960,262960,0
201702051,550000,550000,0
201702052,5753000,5753000,0
201702053,770000,770000,0
201702061,384500,384500,0
201702063,3035450,3035450,0
201702064,2022900,2022900,0
201702065,1070850,1070850,0
201702066,5185400,5185400,0
201702067,49500,49500,0
201702068,1633500,1633500,0
201702069,191400,191400,0
201702072,76878000,76878000,0
201702073,505470,505470,0
201702074,1533620,1533620,0
201702075,9465890,9465890,0
201702076,16083600,16083600,0
201702077,8497740,8497740,0
201702078,8061760,8061760,0
201702079,260330,260330,0
201702081,20295000,20295000,0
201702082,8098200,8098200,0
201702083,199375,199375,0
201702085,358600,358600,0
201702086,176120,176120,0
201702087,44000,44000,0
201702088,540,540,0
201702089,44400,44400,0
201702091,8551002,8551002,0
201702092,154000,154000,0
201702093,319810,319810,0
201702094,1900000,1900000,0
201702095,590000,590000,0
201702096,420000,420000,0
201702097,1100000,1100000,0
201702098,2462900,2462900,0
201702099,557040,557040,0
201702101,149372300,149372300,0
201702102,-66000,-66000,0
201702103,27500000,27500000,0
201702104,158510,158510,0
201702105,480,480,0
201702106,220000,220000,0
201702107,101158500,101158500,0
201702109,27675490,27675490,0
201702121,66000,66000,0
201702131,92023800,92023800,0
201702132,55148500,55148500,0
201702133,2200000,2200000,0
201702134,1210000,1210000,0
201702135,896500,896500,0
201702136,880000,880000,0
201702137,1400000,1400000,0
201702138,850000,850000,0
201702139,2750000,2750000,0
201702141,1155000,1155000,0
201702142,55000,55000,0
201702143,10494780,10494780,0
201702144,686070,686070,0
201702145,99000,99000,0
201702146,385000,385000,0
201702147,325710,325710,0
201702148,1894200,1894200,0
201702151,32492363,32492363,0
201702152,32438717,32438717,0
201702153,-7260000,-7260000,0
201702154,7260000,7260000,0
201702155,836000,836000,0
201702156,605000,605000,0
201702157,550000,550000,0
201702158,495000,495000,0
201702159,750000,750000,0
201702161,3600000,3600000,0
201702162,121000,121000,0
201702163,121000,121000,0
