거래소,종목코드,종목명,현재가,상장주식수,시가총억원
코스피,000075,삼양홀딩스우,46950,304058,142.755231
코스피,000087,하이트진로2우B,14200,1130138,160.479596
코스피,000105,유한양행우,207500,236188,490.0901
코스피,000145,하이트진로홀딩스우,8110,470810,38.182691
코스피,000155,두산우,72800,4411074,3211.261872
코스피,000157,두산2우B,73400,985685,723.49279
코스피,000215,대림산업우,37200,38e5,1413.6
코스피,000225,유유제약1우,6900,1133465,78.209085
코스피,000227,유유제약2우B,17400,164080,28.54992
코스피,000325,노루홀딩스우,17650,185250,32.696625
코스피,000545,흥국화재우,5220,768e3,40.0896
코스피,000547,흥국화재2우B,25200,153600,38.7072
코스피,000725,현대건설우,173e3,98856,171.02088
코스피,000815,삼성화재우,169500,3192e3,5410.44
코스피,000885,한화우,19150,479294,91.784801
코스피,00088K,한화3우B,13950,22472e3,3134.844
코스피,000995,DB하이텍1우,34550,112316,38.805178
코스피,001045,CJ우,50100,2260223,1132.371723
코스피,001065,JW중외제약우,25350,164111,41.6021385
코스피,001067,JW중외제약2우B,41750,86098,35.945915
코스피,001275,부국증권우,19e3,3e6,570
코스피,001465,BYC우,112500,215385,242.308125
코스피,001515,SK증권우,3170,3912514,124.0266938
코스피,001525,동양우,9260,617731,57.2018906
코스피,001527,동양2우B,11050,308569,34.0968745
코스피,001529,동양3우B,31200,89722,27.993264
코스피,001685,대상우,12450,1370223,170.5927635
코스피,001725,신영증권우,54900,7053763,3872.515887
코스피,001745,SK네트웍스우,52400,113648,59.551552
코스피,001755,한양증권우,7780,525e3,40.845
코스피,001795,대한제당우,12050,648276,78.117258
코스피,001799,대한제당3우B,25550,129656,33.127108
코스피,002025,코오롱우,17550,1076390,188.906445
코스피,002355,넥센타이어1우B,3705,65e5,240.825
코스피,002785,진흥기업우B,4555,857218,39.0462799
코스피,002787,진흥기업2우B,9910,294808,29.2154728
코스피,002795,아모레G우,27650,6443770,1781.702405
코스피,002995,금호산업우,24950,292266,72.920367
코스피,003075,코오롱글로벌우,15700,312803,49.110071
코스피,003415,쌍용양회우,5320,1543685,82.124042
코스피,003465,유화증권우,12600,3495285,440.40591
코스피,003475,유안타증권우,2090,12912212,269.8652308
코스피,003495,대한항공우,13800,1110794,153.289572
코스피,003535,한화투자증권우,2100,48e5,100.8
코스피,003545,대신증권우,8510,26e6,2212.6
코스피,003547,대신증권2우B,8e3,1e7,800
코스피,003555,LG우,41150,3314677,1363.9895855
코스피,003925,남양유업우,195500,166662,325.82421
코스피,004105,태양금속우,3350,33e5,110.55
